Shimmer1	Shimmer1	Shimmer1	Shimmer1
Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z
CAL	CAL	CAL	CAL
mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)
2848992,249	10,970	-1,040	-3,822
2848997,131	10,812	-1,079	-3,871
2849002,014	10,881	-1,059	-3,822
2849006,897	10,960	-1,129	-3,812
2849011,780	10,624	-1,535	-3,386
2849016,663	11,000	-1,069	-3,762
2849021,545	10,950	-1,149	-3,980
2849026,428	10,812	-0,505	-4,376
2849031,311	10,792	-1,079	-3,861
2849036,194	10,832	-1,000	-3,861
2849041,077	10,693	-1,050	-3,871
2849045,959	11,188	-0,950	-3,703
2849050,842	10,901	-0,911	-3,792
2849055,725	11,089	-1,030	-3,931
2849060,608	10,891	-0,960	-4,020
2849065,491	10,911	-1,040	-3,891
2849070,374	10,911	-1,050	-3,822
2849075,256	11,000	-0,723	-3,485
2849080,139	10,832	-1,208	-3,723
2849085,022	10,842	-0,980	-3,822
2849089,905	11,020	-1,010	-4,327
2849094,788	10,782	-0,990	-3,802
2849099,670	10,782	-1,059	-3,851
2849104,553	10,812	-1,059	-3,901
2849109,436	10,683	-0,782	-3,970
2849114,319	10,941	-1,119	-3,663
2849119,202	10,970	-1,000	-3,782
2849124,084	10,426	-0,980	-3,782
2849128,967	11,327	-1,020	-3,881
2849133,850	10,792	-0,950	-3,822
2849138,733	10,861	-0,931	-3,871
2849143,616	11,188	-0,861	-3,851
2849148,499	10,673	-0,911	-3,614
2849153,381	10,970	-0,950	-3,871
2849158,264	10,891	-1,099	-3,812
2849163,147	10,842	-1,050	-3,822
2849168,030	10,832	-1,158	-3,752
2849172,913	10,901	-1,010	-3,871
2849177,795	10,881	-0,970	-3,861
2849182,678	10,980	-0,990	-3,802
2849187,561	10,941	-0,970	-3,832
2849192,444	10,921	-1,030	-3,891
2849197,327	10,871	-1,069	-3,842
2849202,209	10,792	-1,079	-3,921
2849207,092	10,733	-1,050	-3,792
2849211,975	10,931	-1,020	-3,822
2849216,858	10,931	-0,871	-3,861
2849221,741	10,921	-1,119	-3,713
2849226,624	10,931	-0,950	-3,931
2849231,506	10,842	-0,970	-3,752
2849236,389	10,911	-1,059	-3,871
2849241,272	11,010	-1,030	-3,634
2849246,155	10,941	-1,119	-3,802
2849251,038	10,911	-1,079	-3,851
2849255,920	10,782	-0,901	-3,772
2849260,803	10,842	-0,960	-3,881
2849265,686	10,743	-1,030	-3,822
2849270,569	10,762	-1,000	-3,792
2849275,452	10,990	-1,040	-3,772
2849280,334	10,822	-0,901	-3,881
2849285,217	10,891	-1,109	-3,802
2849290,100	10,891	-1,030	-3,792
2849294,983	11,020	-0,990	-3,713
