Shimmer1	Shimmer1	Shimmer1	Shimmer1
Timestamp	Gyroscope X*	Gyroscope Y*	Gyroscope Z*
uncalibrated	uncalibrated	uncalibrated	uncalibrated
no units	no units	no units	no units
109439554	1869	1571	2486
109439714	1845	1587	2443
109439874	1866	1592	2380
109440034	1921	1592	2363
109440194	1943	1585	2376
109440354	1932	1545	2384
109440514	1927	1522	2388
109440674	1915	1490	2395
109440834	1933	1565	1645
109440994	2070	1503	2370
109441154	2074	1480	2562
109441314	1981	1503	2540
109441474	1951	1522	2438
109441634	1955	1545	2352
109441794	1880	1545	2364
109441954	2010	1499	2411
109442114	1875	1420	2536
109442274	1898	1368	2632
109442434	1907	1300	2648
109442594	1899	1302	2672
109442754	1871	1297	2638
109442914	1911	1314	2597
109443074	1891	1308	2524
109443234	1982	1382	2481
109443394	1919	1377	2423
109443554	1932	1430	2390
109443714	1921	1464	2357
109443874	1945	1448	2290
109444034	1938	1452	2299
109444194	1952	1441	2331
109444354	1927	1440	2317
109444514	1913	1416	2356
109444674	1907	1386	2414
109444834	1894	1368	2433
109444994	1884	1327	2456
109445154	1851	1301	2454
109445314	1864	1316	2514
109445474	1859	1312	2541
109445634	1863	1344	2546
109445794	1876	1394	2531
109445954	1879	1431	2500
109446114	1894	1455	2481
109446274	1900	1479	2486
109446434	1909	1494	2464
109446594	1907	1494	2478
109446754	1923	1485	2442
109446914	1944	1489	2393
109447074	1965	1484	2411
109447234	1952	1496	2453
109447394	1943	1516	2481
109447554	1927	1508	2491
109447714	1931	1505	2479
109447874	1952	1488	2440
109448034	1987	1496	2408
109448194	1996	1516	2393
109448354	1989	1505	2401
109448514	1980	1492	2402
109448674	1979	1470	2398
109448834	1974	1438	2380
109448994	1957	1427	2409
109449154	1927	1427	2446
109449314	1911	1431	2485
109449474	1937	1448	2528
109449634	1948	1463	2520
109449794	1956	1465	2499
109449954	1966	1457	2445
109450114	1971	1477	2432
109450274	1979	1505	2456
109450434	1997	1562	2460
109450594	2022	1606	2441
109450754	2033	1635	2433
109450914	2026	1640	2420
109451074	2034	1611	2396
109451234	2031	1590	2391
109451394	2032	1562	2404
109451554	2033	1579	2435
109451714	2012	1571	2443
109451874	2004	1569	2422
109452034	2000	1550	2424
109452194	1979	1519	2448
109452354	1961	1494	2447
109452514	1958	1494	2418
109452674	1963	1498	2393
109452834	1954	1519	2382
109452994	1961	1543	2414
109453154	1993	1587	2418
109453314	2003	1605	2376
109453474	1995	1597	2341
109453634	1994	1611	2313
