Shimmer1	Shimmer1	Shimmer1	Shimmer1
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z
CAL	CAL	CAL	CAL
mSecs	deg/sec	deg/sec	deg/sec
3339424,866	51,282	-133,333	-219,780
3339429,749	45,421	-139,927	-216,850
3339434,631	52,381	-135,897	-221,245
3339439,514	67,399	-131,502	-216,850
3339444,397	48,352	-136,264	-220,147
3339449,280	40,659	-133,700	-217,216
3339454,163	37,363	-126,740	-197,802
3339459,045	58,974	-136,996	-222,711
3339463,928	47,253	-138,095	-216,117
3339468,811	50,183	-140,293	-223,443
3339473,694	48,352	-138,462	-230,037
3339478,577	54,579	-130,403	-212,821
3339483,459	49,451	-137,363	-216,117
3339488,342	47,253	-129,670	-218,315
3339493,225	45,788	-126,740	-215,385
3339498,108	46,154	-134,799	-214,286
3339502,991	43,956	-137,363	-231,502
3339507,874	45,788	-136,264	-223,443
3339512,756	47,985	-135,531	-227,106
3339517,639	41,392	-139,194	-228,205
3339522,522	47,985	-133,700	-228,938
3339527,405	51,282	-136,264	-227,839
3339532,288	42,125	-144,689	-230,403
3339537,170	49,451	-137,363	-223,077
3339542,053	52,747	-138,462	-222,711
3339546,936	38,095	-130,769	-219,780
3339551,819	50,549	-134,066	-222,711
3339556,702	48,352	-134,432	-219,780
3339561,584	53,846	-132,234	-222,344
3339566,467	51,282	-129,304	-219,048
3339571,350	50,916	-134,066	-226,374
3339576,233	50,183	-132,601	-222,344
3339581,116	48,352	-131,502	-230,769
3339585,999	52,747	-126,740	-230,769
3339590,881	47,985	-135,165	-235,531
3339595,764	50,183	-132,234	-237,363
3339600,647	55,678	-131,136	-248,352
3339605,530	56,777	-131,868	-248,352
3339610,413	53,846	-133,700	-247,619
3339615,295	59,341	-140,659	-258,974
3339620,178	70,696	-144,689	-269,963
3339625,061	94,139	-123,443	-286,447
3339629,944	75,458	-162,271	-289,011
3339634,827	48,352	-150,549	-269,963
3339639,709	57,509	-135,165	-277,289
3339644,592	42,857	-120,147	-280,220
3339649,475	51,648	-139,560	-305,495
3339654,358	40,659	-163,004	-336,264
3339659,241	53,114	-144,322	-281,319
3339664,124	48,352	-130,037	-250,183
3339669,006	39,194	-112,821	-231,868
3339673,889	1,099	-11,722	-226,007
3339678,772	9,524	-50,916	-189,377
3339683,655	20,879	-69,231	-193,040
3339688,538	34,066	-80,586	-202,198
3339693,420	45,055	-89,011	-206,960
3339698,303	65,568	-87,179	-213,919
3339703,186	72,894	-80,220	-223,077
3339708,069	70,696	-17,582	-270,330
3339712,952	53,846	-55,678	-243,590
3339717,834	44,689	-31,136	-255,678
3339722,717	42,857	-46,520	-267,033
3339727,600	59,707	-48,718	-268,864
3339732,483	70,696	-43,590	-254,212
3339737,366	73,993	-47,985	-245,788
3339742,249	69,597	-41,026	-230,037
3339747,131	61,905	-40,659	-220,513
3339752,014	63,004	-37,363	-204,762
3339756,897	65,934	-19,780	-198,168
3339761,780	65,568	31,868	-80,220
3339766,663	35,165	-32,601	-107,326
3339771,545	57,509	-67,033	-134,799
3339776,428	63,736	-65,934	-156,777
3339781,311	61,172	-32,234	-184,982
3339786,194	64,835	-25,275	-193,040
3339791,077	58,242	-23,077	-197,070
3339795,959	84,615	-40,293	-194,505
3339800,842	85,714	-27,839	-190,842
3339805,725	92,674	-15,385	-200,366
