Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1
Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z
RAW	RAW	RAW	RAW	CAL	CAL	CAL	CAL
No unit	No unit	No unit	No unit	mSecs	m/(sec^2)*	m/(sec^2)*	m/(sec^2)*
65281	2962	2085	1700	45992,2180175781	9,04950495049505	0,366336633663366	-3,44554455445545
65441	2969	2085	1679	45997,1008300781	9,11881188118812	0,366336633663366	-3,65346534653465
65	2981	2099	1696	46001,9836425781	9,23762376237624	0,504950495049505	-3,48514851485149
225	2999	2079	1685	46006,8664550781	9,41584158415842	0,306930693069307	-3,59405940594059
385	2965	2086	1708	46011,7492675781	9,07920792079208	0,376237623762376	-3,36633663366337
545	3001	2092	1681	46016,6320800781	9,43564356435644	0,435643564356436	-3,63366336633663
705	2987	2068	1700	46021,5148925781	9,2970297029703	0,198019801980198	-3,44554455445545
865	2958	2087	1698	46026,3977050781	9,00990099009901	0,386138613861386	-3,46534653465347
1025	2962	2086	1671	46031,2805175781	9,04950495049505	0,376237623762376	-3,73267326732673
1185	2957	2084	1701	46036,1633300781	9	0,356435643564356	-3,43564356435644
1345	2980	2079	1701	46041,0461425781	9,22772277227723	0,306930693069307	-3,43564356435644
1505	2994	2079	1699	46045,9289550781	9,36633663366337	0,306930693069307	-3,45544554455446
1665	2981	2083	1690	46050,8117675781	9,23762376237624	0,346534653465347	-3,54455445544554
1825	2969	2084	1699	46055,6945800781	9,11881188118812	0,356435643564356	-3,45544554455446
1985	2983	2106	1699	46060,5773925781	9,25742574257426	0,574257425742574	-3,45544554455446
2145	2997	2075	1684	46065,4602050781	9,3960396039604	0,267326732673267	-3,6039603960396
2305	2999	2069	1697	46070,3430175781	9,41584158415842	0,207920792079208	-3,47524752475248
2465	2980	2090	1700	46075,2258300781	9,22772277227723	0,415841584158416	-3,44554455445545
2625	2992	2069	1683	46080,1086425781	9,34653465346535	0,207920792079208	-3,61386138613861
2785	2983	2086	1718	46084,9914550781	9,25742574257426	0,376237623762376	-3,26732673267327
2945	2969	2078	1684	46089,8742675781	9,11881188118812	0,297029702970297	-3,6039603960396
3105	2971	2091	1690	46094,7570800781	9,13861386138614	0,425742574257426	-3,54455445544554
3265	2990	2067	1673	46099,6398925781	9,32673267326733	0,188118811881188	-3,71287128712871
