Shimmer1	Shimmer1	Shimmer1	Shimmer1
Timestamp	Accelerometer X*	Accelerometer Y*	Accelerometer Z*
uncalibrated	uncalibrated	uncalibrated	uncalibrated
no units	no units	no units	no units
93372418	934	2126	1634
93372578	950	2166	1667
93372738	934	2149	1663
93372898	983	2162	1659
93373058	967	2159	1631
93373218	952	2161	1656
93373378	957	2155	1660
93373538	979	2207	1640
93373698	942	2160	1640
93373858	948	2165	1666
93374018	944	2156	1654
93374178	937	2126	1580
93374338	940	2171	1660
93374498	951	2150	1676
93374658	941	2153	1665
93374818	938	2143	1656
93374978	955	2146	1659
93375138	948	2148	1656
93375298	965	2154	1655
93375458	954	2142	1654
93375618	960	2157	1663
93375778	938	2162	1666
93375938	949	2156	1658
93376098	948	2163	1655
93376258	965	2144	1654
93376418	953	2150	1662
93376578	950	2158	1666
93376738	944	2149	1673
93376898	953	2154	1655
93377058	955	2144	1674
93377218	950	2164	1656
93377378	948	2162	1673
93377538	946	2148	1661
93377698	962	2149	1672
93377858	958	2152	1660
93378018	946	2137	1643
93378178	946	2163	1664
93378338	938	2158	1671
93378498	951	2157	1664
93378658	958	2168	1674
93378818	953	2164	1681
93378978	952	2146	1660
93379138	971	2147	1665
93379298	953	2146	1670
93379458	946	2150	1665
93379618	937	2159	1655
93379778	963	2154	1664
93379938	940	2147	1664
93380098	955	2142	1657
93380258	950	2153	1658
93380418	950	2146	1668
93380578	946	2145	1653
93380738	950	2160	1659
93380898	944	2165	1664
93381058	941	2157	1652
93381218	958	2146	1666
93381378	955	2152	1661
93381538	945	2150	1664
93381698	952	2148	1665
93381858	954	2145	1665
93382018	942	2143	1652
93382178	944	2157	1657
93382338	946	2157	1667
93382498	959	2147	1663
93382658	965	2153	1650
93382818	953	2148	1667
93382978	938	2143	1661
93383138	947	2147	1663
93383298	947	2140	1656
93383458	955	2148	1653
93383618	960	2155	1661
93383778	963	2148	1666
93383938	948	2147	1662
93384098	955	2149	1650
93384258	942	2157	1660
93384418	949	2161	1659
93384578	947	2161	1666
93384738	957	2150	1668
93384898	955	2165	1671
93385058	939	2157	1668
93385218	946	2160	1659
93385378	938	2160	1669
93385538	952	2139	1660
93385698	949	2141	1673
93385858	950	2146	1678
93386018	951	2153	1664
93386178	939	2155	1667
93386338	944	2148	1667
93386498	948	2153	1645
93386658	948	2146	1656
93386818	951	2153	1657
93386978	959	2140	1660
93387138	959	2149	1657
93387298	955	2151	1671
93387458	949	2163	1662
93387618	946	2144	1648
93387778	961	2159	1669
93387938	946	2162	1670
93388098	948	2167	1662
93388258	941	2155	1645
93388418	950	2158	1655
93388578	953	2157	1677
93388738	939	2156	1666
93388898	956	2158	1658
93389058	954	2141	1658
93389218	951	2155	1661
93389378	962	2162	1655
93389538	951	2163	1660
93389698	963	2146	1659
93389858	956	2144	1658
93390018	948	2140	1658
93390178	949	2160	1668
93390338	948	2153	1647
93390498	951	2145	1661
93390658	956	2170	1659
93390818	956	2150	1668
93390978	949	2155	1653
93391138	957	2145	1645
93391298	949	2164	1653
93391458	948	2150	1665
93391618	961	2154	1663
93391778	948	2166	1665
93391938	958	2161	1667
93392098	963	2140	1665
93392258	943	2148	1677
93392418	951	2143	1660
93392578	944	2170	1675
93392738	948	2153	1667
93392898	925	2140	1675
93393058	958	2156	1677
93393218	935	2161	1661
93393378	965	2155	1666
93393538	953	2158	1629
93393698	945	2144	1656
93393858	947	2139	1654
93394018	918	2138	1635
93394178	950	2152	1656
93394338	951	2139	1655
93394498	940	2154	1663
93394658	970	2181	1709
93394818	955	2148	1642
93394978	950	2145	1665
93395138	938	2152	1648
93395298	952	2147	1673
93395458	941	2160	1657
93395618	946	2162	1663
93395778	956	2146	1671
93395938	950	2159	1671
93396098	940	2158	1662
93396258	943	2147	1671
93396418	946	2143	1651
93396578	949	2165	1671
93396738	958	2158	1662
93396898	951	2164	1674
93397058	952	2155	1667
93397218	950	2144	1660
93397378	938	2147	1646
93397538	949	2145	1649
93397698	951	2159	1657
93397858	944	2159	1663
93398018	955	2157	1663
93398178	947	2144	1676
93398338	942	2151	1657
93398498	956	2154	1646
93398658	952	2132	1666
93398818	943	2151	1660
93398978	944	2142	1674
93399138	941	2151	1668
93399298	951	2151	1665
93399458	958	2149	1673
93399618	953	2151	1657
93399778	965	2157	1665
93399938	950	2160	1650
93400098	939	2146	1666
93400258	931	2141	1657
93400418	942	2144	1657
93400578	945	2146	1656
93400738	964	2153	1659
93400898	948	2166	1668
93401058	946	2156	1653
93401218	947	2148	1658
93401378	947	2152	1660
93401538	947	2149	1659
93401698	959	2148	1658
93401858	947	2151	1669
93402018	946	2147	1665
93402178	947	2159	1655
93402338	952	2148	1641
93402498	953	2143	1663
93402658	959	2144	1667
93402818	952	2152	1668
93402978	950	2157	1651
93403138	952	2155	1670
93403298	951	2163	1667
93403458	941	2152	1657
93403618	955	2154	1649
93403778	964	2159	1650
93403938	955	2159	1661
93404098	952	2165	1662
93404258	961	2157	1662
93404418	949	2152	1650
93404578	961	2152	1670
93404738	948	2147	1664
93404898	956	2157	1659
93405058	953	2145	1653
93405218	944	2142	1660
93405378	960	2140	1670
93405538	945	2140	1663
93405698	954	2144	1676
93405858	946	2157	1651
93406018	946	2152	1666
93406178	940	2147	1664
93406338	952	2157	1669
93406498	956	2142	1677
93406658	943	2147	1663
93406818	940	2160	1665
93406978	942	2152	1673
93407138	940	2152	1668
93407298	952	2154	1675
93407458	946	2150	1672
93407618	951	2153	1664
93407778	942	2156	1653
93407938	946	2144	1655
93408098	951	2164	1667
93408258	958	2137	1658
93408418	959	2158	1663
93408578	953	2155	1661
93408738	952	2155	1657
93408898	946	2147	1663
93409058	950	2154	1675
93409218	966	2160	1651
93409378	954	2172	1660
93409538	944	2145	1660
93409698	945	2151	1661
93409858	933	2158	1662
93410018	952	2161	1662
93410178	948	2151	1653
93410338	946	2154	1652
93410498	952	2159	1674
93410658	951	2139	1657
93410818	951	2151	1656
93410978	952	2137	1661
93411138	961	2149	1662
93411298	953	2145	1661
93411458	952	2156	1664
93411618	950	2149	1656
93411778	945	2172	1675
93411938	949	2149	1652
93412098	935	2164	1653
93412258	945	2160	1662
93412418	955	2147	1652
93412578	950	2162	1667
93412738	955	2145	1666
93412898	948	2160	1667
93413058	940	2148	1654
93413218	954	2151	1655
93413378	980	2163	1627
93413538	951	2144	1655
93413698	953	2151	1679
93413858	929	2160	1640
93414018	1030	2194	1646
93414178	949	2148	1680
93414338	944	2150	1667
93414498	932	2132	1665
93414658	943	2124	1672
93414818	950	2169	1650
93414978	960	2159	1666
93415138	966	2194	1679
93415298	955	2158	1642
93415458	972	2173	1653
93415618	930	2122	1622
93415778	878	2132	1609
93415938	934	2158	1615
93416098	967	2152	1676
93416258	965	2164	1670
93416418	952	2138	1673
93416578	964	2158	1675
93416738	940	2151	1667
93416898	948	2158	1659
93417058	940	2165	1678
93417218	954	2146	1670
93417378	948	2143	1662
93417538	957	2159	1662
93417698	951	2166	1666
93417858	951	2149	1656
93418018	949	2161	1659
93418178	956	2146	1654
93418338	952	2163	1660
93418498	946	2162	1657
93418658	949	2142	1653
93418818	961	2154	1679
93418978	943	2155	1661
93419138	958	2138	1657
93419298	949	2157	1656
93419458	952	2150	1662
93419618	946	2150	1661
93419778	951	2158	1666
93419938	958	2150	1665
93420098	956	2142	1668
93420258	954	2145	1656
93420418	939	2153	1651
93420578	955	2147	1662
93420738	951	2161	1678
93420898	943	2151	1656
93421058	963	2143	1655
93421218	948	2154	1665
93421378	945	2148	1650
93421538	942	2170	1667
93421698	950	2155	1656
93421858	938	2146	1663
93422018	956	2141	1659
93422178	960	2152	1665
93422338	959	2142	1668
93422498	944	2144	1672
93422658	949	2152	1666
93422818	949	2156	1665
93422978	949	2145	1681
93423138	950	2161	1664
93423298	941	2162	1658
93423458	958	2156	1655
93423618	960	2148	1656
93423778	948	2155	1665
93423938	949	2142	1663
93424098	949	2165	1671
93424258	953	2153	1669
93424418	957	2158	1651
93424578	945	2141	1652
93424738	955	2157	1645
93424898	956	2146	1663
93425058	955	2147	1655
93425218	941	2152	1662
93425378	952	2152	1664
93425538	943	2144	1673
93425698	953	2155	1667
93425858	941	2148	1666
93426018	937	2149	1646
93426178	957	2154	1660
93426338	948	2157	1672
93426498	954	2157	1664
93426658	949	2144	1658
93426818	960	2153	1667
93426978	938	2156	1653
93427138	961	2159	1668
93427298	948	2150	1674
93427458	960	2152	1657
93427618	953	2154	1657
93427778	960	2149	1668
93427938	937	2158	1651
93428098	957	2147	1656
93428258	953	2150	1662
93428418	960	2141	1668
93428578	930	2147	1661
93428738	950	2148	1647
93428898	950	2152	1671
93429058	948	2166	1650
93429218	950	2156	1662
93429378	936	2160	1651
93429538	957	2152	1668
93429698	939	2156	1660
93429858	947	2154	1664
93430018	957	2156	1659
93430178	959	2158	1663
93430338	942	2155	1666
93430498	944	2150	1676
93430658	958	2172	1655
93430818	945	2143	1659
93430978	947	2154	1650
93431138	940	2158	1674
93431298	967	2146	1655
93431458	941	2140	1665
93431618	928	2150	1667
93431778	955	2162	1665
93431938	962	2165	1682
93432098	941	2153	1662
93432258	953	2160	1659
93432418	954	2155	1653
93432578	949	2154	1659
93432738	955	2158	1676
93432898	949	2149	1669
93433058	960	2151	1669
93433218	957	2147	1650
93433378	947	2149	1668
93433538	960	2143	1677
93433698	941	2151	1665
93433858	932	2103	1639
93434018	951	2144	1651
93434178	955	2137	1651
93434338	951	2150	1674
93434498	959	2171	1656
93434658	940	2157	1655
93434818	936	2149	1673
93434978	947	2155	1658
93435138	965	2146	1684
93435298	948	2144	1666
93435458	944	2157	1674
93435618	919	2144	1618
93435778	942	2130	1695
93435938	941	2149	1654
93436098	948	2166	1660
93436258	950	2138	1676
93436418	945	2155	1661
93436578	949	2159	1676
93436738	947	2154	1653
93436898	949	2152	1668
93437058	953	2149	1654
93437218	951	2154	1663
93437378	960	2156	1655
93437538	948	2155	1665
93437698	945	2152	1661
93437858	953	2155	1665
93438018	953	2149	1649
93438178	951	2158	1665
93438338	949	2155	1662
93438498	963	2155	1664
93438658	938	2162	1676
93438818	937	2167	1674
93438978	939	2155	1664
93439138	956	2159	1664
93439298	949	2155	1663
93439458	954	2149	1655
93439618	959	2158	1664
93439778	949	2148	1653
93439938	936	2151	1659
93440098	941	2159	1663
93440258	940	2158	1655
93440418	956	2154	1663
93440578	946	2154	1665
93440738	954	2159	1656
93440898	942	2145	1665
93441058	961	2140	1668
93441218	945	2157	1669
93441378	944	2163	1660
93441538	946	2160	1676
93441698	961	2163	1648
93441858	953	2145	1667
93442018	934	2153	1651
93442178	946	2162	1664
93442338	954	2157	1665
93442498	951	2159	1661
93442658	948	2152	1669
93442818	946	2135	1662
93442978	961	2152	1659
93443138	953	2163	1671
93443298	939	2154	1652
93443458	964	2136	1667
93443618	943	2153	1668
93443778	943	2144	1662
93443938	952	2148	1654
93444098	948	2141	1656
93444258	951	2139	1678
93444418	949	2154	1651
93444578	949	2158	1668
93444738	949	2145	1649
93444898	953	2159	1649
93445058	947	2144	1661
93445218	954	2154	1670
93445378	949	2156	1655
93445538	953	2148	1663
93445698	942	2146	1652
93445858	955	2161	1663
93446018	959	2153	1669
93446178	944	2148	1645
93446338	944	2160	1656
93446498	946	2159	1663
93446658	956	2166	1666
93446818	931	2152	1660
93446978	954	2153	1674
93447138	949	2143	1675
93447298	950	2146	1648
93447458	951	2161	1668
93447618	953	2151	1659
93447778	951	2155	1650
93447938	944	2163	1657
93448098	952	2150	1663
93448258	954	2156	1656
93448418	945	2151	1675
93448578	951	2142	1662
93448738	957	2149	1671
93448898	952	2159	1668
93449058	940	2162	1670
93449218	941	2158	1667
93449378	952	2156	1673
93449538	945	2153	1668
93449698	953	2150	1653
93449858	951	2159	1664
93450018	946	2151	1666
93450178	946	2151	1666
93450338	939	2150	1668
93450498	968	2150	1655
93450658	950	2156	1660
93450818	962	2160	1667
93450978	953	2148	1660
93451138	938	2150	1653
93451298	951	2177	1657
93451458	949	2158	1657
93451618	945	2144	1665
93451778	951	2146	1658
93451938	954	2152	1666
93452098	938	2151	1673
93452258	953	2155	1668
93452418	948	2147	1654
93452578	955	2161	1678
93452738	942	2153	1653
93452898	953	2153	1667
93453058	945	2148	1652
93453218	961	2152	1677
93453378	950	2159	1668
93453538	948	2154	1662
93453698	943	2162	1671
93453858	939	2162	1662
93454018	967	2144	1652
93454178	954	2152	1669
93454338	937	2209	1659
93454498	960	2139	1675
93454658	937	2155	1658
93454818	947	2154	1662
93454978	919	2159	1626
93455138	928	2117	1664
93455298	960	2156	1675
93455458	939	2158	1656
93455618	961	2149	1653
93455778	968	2163	1665
93455938	948	2159	1678
93456098	942	2146	1613
93456258	987	2167	1701
93456418	954	2153	1659
93456578	952	2158	1667
93456738	935	2153	1673
93456898	945	2151	1658
93457058	964	2147	1665
93457218	960	2158	1660
93457378	935	2151	1671
93457538	949	2165	1656
93457698	946	2154	1664
93457858	938	2159	1656
93458018	938	2147	1657
93458178	948	2151	1652
93458338	951	2145	1656
93458498	940	2146	1659
93458658	946	2156	1651
93458818	948	2158	1665
93458978	960	2160	1681
93459138	940	2151	1665
93459298	948	2135	1653
93459458	948	2147	1662
93459618	941	2154	1668
93459778	941	2158	1654
93459938	943	2166	1662
93460098	947	2155	1664
93460258	943	2165	1669
93460418	948	2156	1671
93460578	953	2161	1676
93460738	957	2158	1664
93460898	948	2165	1657
93461058	941	2143	1658
93461218	937	2151	1642
93461378	957	2157	1661
93461538	940	2154	1665
93461698	951	2153	1668
93461858	934	2156	1659
93462018	943	2162	1668
93462178	957	2154	1658
93462338	950	2139	1654
93462498	954	2161	1662
93462658	962	2148	1659
93462818	965	2149	1665
93462978	938	2145	1665
93463138	959	2154	1669
93463298	957	2171	1661
93463458	949	2158	1652
93463618	957	2175	1664
93463778	950	2147	1670
93463938	944	2149	1651
93464098	944	2157	1656
93464258	951	2147	1646
93464418	952	2151	1656
93464578	949	2169	1669
93464738	950	2148	1664
93464898	943	2159	1668
93465058	963	2156	1672
93465218	951	2156	1652
93465378	959	2154	1671
93465538	956	2155	1660
93465698	943	2158	1668
93465858	945	2160	1676
93466018	950	2156	1668
93466178	948	2152	1667
93466338	942	2160	1657
93466498	951	2154	1658
93466658	962	2160	1672
93466818	942	2170	1664
93466978	950	2156	1670
93467138	929	2150	1666
93467298	953	2146	1669
93467458	950	2156	1647
93467618	961	2155	1665
93467778	950	2159	1667
93467938	948	2144	1668
93468098	935	2149	1659
93468258	947	2164	1666
93468418	936	2169	1654
93468578	950	2154	1665
93468738	941	2144	1665
93468898	948	2141	1668
93469058	934	2151	1683
93469218	953	2154	1662
93469378	940	2147	1661
93469538	947	2163	1652
93469698	959	2159	1669
